name,B1,B2,B3,C1,C2,C3,TAUI25/2500,TAUI25/2325,TAUI25/1970,TAUI25/1530,TAUI25/1060,TAUI25/700,TAUI25/660,TAUI25/620,TAUI25/580,TAUI25/546,TAUI25/500,TAUI25/460,TAUI25/436,TAUI25/420,TAUI25/405,TAUI25/400,TAUI25/390,TAUI25/380,TAUI25/370,TAUI25/365,TAUI25/350,TAUI25/334,TAUI25/320,TAUI25/310,TAUI25/300,TAUI25/290,TAUI25/280,TAUI25/270,TAUI25/260,TAUI25/250
"F2",1.34533359,0.209073176,0.937357162,0.0099774387,0.0470450767,111.886764,0.61,0.7,0.89,0.99,0.998,0.998,0.996,0.997,0.997,0.997,0.996,0.993,0.991,0.99,0.986,0.984,0.977,0.963,0.94,0.92,0.78,0.21,,,,,,,,
"F4",1.33905825,0.205224318,0.897859758,0.0099222011,0.0470000918,107.93675,0.57,0.67,0.87,0.983,0.993,0.992,0.99,0.99,0.991,0.991,0.989,0.986,0.984,0.98,0.974,0.971,0.957,0.935,0.9,0.88,0.691,0.17,0,,,,,,,
"F5",1.3104463,0.19603426,0.96612977,0.0095863305,0.0457627627,115.011883,0.58,0.69,0.9,0.99,0.995,0.995,0.995,0.995,0.996,0.995,0.995,0.992,0.99,0.988,0.985,0.984,0.977,0.96,0.93,0.9,0.69,0.23,,,,,,,,
"K10",1.15687082,0.0642625444,0.872376139,0.0080942425,0.0386051284,104.74773,0.52,0.63,0.85,0.983,0.996,0.997,0.994,0.993,0.993,0.992,0.991,0.99,0.988,0.988,0.987,0.986,0.982,0.973,0.966,0.958,0.91,0.72,0.31,0.13,0.02,,,,,
"K7",1.1273555,0.124412303,0.827100531,0.0072034171,0.0269835916,100.384588,0.34,0.5,0.79,0.98,0.994,0.996,0.995,0.995,0.994,0.994,0.993,0.99,0.99,0.99,0.99,0.99,0.988,0.983,0.976,0.971,0.94,0.78,0.42,0.1,,,,,,
"KZFSN4",1.37994218,0.168496708,0.874885726,0.008911597,0.040533407,69.6628237,0.05,0.28,0.81,0.94,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.992,0.989,0.986,0.978,0.974,0.962,0.939,0.9,0.87,0.72,0.49,0.16,0.03,,,,,,
"KZFSN5",1.47727858,0.191686941,0.897333608,0.0097548834,0.0450495404,67.8786495,0.03,0.24,0.77,0.92,0.997,0.996,0.996,0.996,0.996,0.995,0.992,0.985,0.978,0.968,0.95,0.94,0.911,0.85,0.74,0.65,0.19,,,,,,,,,
"LAFN7",1.66842615,0.298512803,1.0774376,0.0103159999,0.0469216348,82.5078509,0.09,0.41,0.85,0.96,0.996,0.996,0.995,0.995,0.995,0.994,0.994,0.982,0.965,0.94,0.88,0.85,0.78,0.65,0.4,0.22,0.01,,,,,,,,,
"LAKL12",1.28115389,0.482607607,1.16553538,0.0063643982,0.0213764262,93.2771532,0.26,0.55,0.91,0.982,0.992,0.993,0.993,0.992,0.992,0.993,0.989,0.977,0.97,0.966,0.958,0.953,0.93,0.89,0.82,0.77,0.54,0.24,0.08,,,,,,,
"LAKN13",1.25792373,0.553402861,1.06335742,0.0062149471,0.0216809853,104.494099,0.38,0.63,0.91,0.988,0.994,0.995,0.994,0.994,0.995,0.995,0.991,0.984,0.976,0.969,0.959,0.954,0.937,0.904,0.842,0.8,0.59,0.26,0.04,0.01,,,,,,
"LASFN9",1.97888194,0.320435298,1.92900751,0.0118537266,0.052738177,166.25654,0.75,0.87,0.97,0.996,0.997,0.988,0.985,0.982,0.979,0.97,0.931,0.866,0.802,0.729,0.615,0.563,0.43,0.255,0.074,0.022,,,,,,,,,,
"LF5",1.28035628,0.163505973,0.893930112,0.0092985442,0.0449135769,110.493685,,0.66,0.87,0.992,0.998,0.998,0.998,0.998,0.997,0.997,0.996,0.995,0.994,0.993,0.992,0.992,0.984,0.973,0.961,0.954,0.88,0.57,0.04,,,,,,,
"LF5G19",1.34611327,0.142428018,0.900477176,0.0097174385,0.0501911619,111.959703,0.2,0.316,0.707,0.979,0.999,0.992,0.986,0.982,0.978,0.967,0.937,0.837,0.632,0.35,0.09,0.04,,,,,,,,,,,,,,
"LLF1",1.23326922,0.116923839,0.862645379,0.0088539681,0.0436875155,104.992168,0.5,0.61,0.84,0.99,0.996,0.997,0.996,0.996,0.997,0.997,0.996,0.996,0.996,0.995,0.994,0.993,0.992,0.988,0.984,0.981,0.955,0.81,0.3,0.01,,,,,,
"N-BAF10",1.5851495,0.143559385,1.08521269,0.0092668128,0.0424489805,105.613573,0.45,0.68,0.92,0.98,0.994,0.994,0.99,0.991,0.99,0.99,0.981,0.967,0.954,0.94,0.9,0.88,0.8,0.66,0.44,0.31,0.01,,,,,,,,,
"N-BAF3",1.34859634,0.10764424,1.13207084,0.0087149293,0.0478406436,112.936116,0.46,0.66,0.89,0.98,0.993,0.994,0.992,0.991,0.993,0.991,0.985,0.975,0.965,0.952,0.92,0.9,0.82,0.67,0.4,0.24,,,,,,,,,,
"N-BAF4",1.42056328,0.102721269,1.14380976,0.0094201538,0.0531087291,110.278856,0.42,0.64,0.89,0.977,0.994,0.994,0.991,0.99,0.992,0.992,0.985,0.971,0.959,0.94,0.9,0.87,0.77,0.58,0.28,0.13,,,,,,,,,,
"N-BAF51",1.51503623,0.153621958,1.15427909,0.0094273472,0.04308265,124.889868,0.48,0.63,0.87,0.98,0.993,0.993,0.99,0.99,0.992,0.991,0.985,0.97,0.956,0.94,0.91,0.89,0.82,0.69,0.47,0.33,0.02,,,,,,,,,
"N-BAF52",1.43903433,0.0967046052,1.09875818,0.0090780013,0.050821208,105.691856,0.39,0.63,0.89,0.975,0.994,0.993,0.99,0.989,0.99,0.989,0.98,0.967,0.954,0.938,0.9,0.88,0.8,0.65,0.37,0.21,,,,,,,,,,
"N-BAK1",1.12365662,0.309276848,0.881511957,0.0064474275,0.0222284402,107.297751,0.584,0.721,0.903,0.986,0.996,0.997,0.995,0.995,0.995,0.995,0.992,0.99,0.989,0.99,0.99,0.99,0.988,0.983,0.977,0.969,0.93,0.82,0.57,0.29,0.07,,,,,
"N-BAK2",1.01662154,0.319903051,0.937232995,0.0059238376,0.0203828415,113.118417,0.5,0.63,0.85,0.984,0.997,0.996,0.995,0.994,0.995,0.995,0.994,0.992,0.992,0.993,0.993,0.993,0.992,0.99,0.989,0.986,0.971,0.91,0.7,0.4,0.1,,,,,
"N-BAK4",1.28834642,0.132817724,0.945395373,0.0077998063,0.0315631177,105.965875,0.54,0.71,0.9,0.982,0.995,0.997,0.995,0.995,0.996,0.996,0.994,0.989,0.988,0.987,0.983,0.98,0.967,0.94,0.89,0.84,0.55,0.07,,,,,,,,
"N-BALF4",1.31004128,0.142038259,0.964929351,0.0079659645,0.0330672072,109.19732,0.58,0.74,0.92,0.984,0.993,0.997,0.995,0.995,0.996,0.995,0.993,0.986,0.983,0.981,0.97,0.964,0.94,0.9,0.82,0.75,0.38,,,,,,,,,
"N-BALF5",1.28385965,0.0719300942,1.05048927,0.0082581598,0.0441920027,107.097324,0.3,0.5,0.81,0.973,0.991,0.995,0.993,0.993,0.995,0.995,0.992,0.988,0.984,0.978,0.965,0.957,0.92,0.85,0.71,0.6,0.128,,,,,,,,,
"N-BASF2",1.53652081,0.156971102,1.30196815,0.0108435729,0.0562278762,131.3397,0.68,0.76,0.93,0.985,0.997,0.99,0.985,0.985,0.987,0.985,0.971,0.951,0.93,0.89,0.8,0.75,0.58,0.32,0.06,,,,,,,,,,,
"N-BASF64",1.65554268,0.17131977,1.33664448,0.0104485644,0.0499394756,118.961472,0.45,0.67,0.9,0.97,0.985,0.97,0.955,0.949,0.949,0.95,0.94,0.92,0.9,0.88,0.84,0.82,0.75,0.61,0.37,0.22,,,,,,,,,,
"N-BK10",0.888308131,0.328964475,0.984610769,0.0051690082,0.0161190045,99.7575331,0.47,0.71,0.95,0.98,0.996,0.995,0.993,0.992,0.993,0.993,0.991,0.99,0.989,0.989,0.99,0.99,0.989,0.985,0.986,0.986,0.978,0.947,0.86,0.71,0.42,0.11,,,,
"N-BK7",1.03961212,0.231792344,1.01046945,0.0060006987,0.0200179144,103.560653,0.36,0.56,0.84,0.98,0.997,0.996,0.994,0.994,0.995,0.996,0.994,0.993,0.992,0.993,0.993,0.992,0.989,0.983,0.977,0.971,0.92,0.78,0.52,0.25,0.05,,,,,
"N-F2",1.39757037,0.159201403,1.2686543,0.0099590614,0.0546931752,119.248346,0.48,0.64,0.88,0.977,0.996,0.992,0.99,0.991,0.993,0.992,0.984,0.973,0.963,0.95,0.9,0.87,0.75,0.51,0.16,0.04,,,,,,,,,,
"N-FK5",0.844309338,0.344147824,0.910790213,0.0047511196,0.0149814849,97.8600293,0.35,0.6,0.92,0.96,0.994,0.996,0.994,0.994,0.995,0.995,0.995,0.994,0.994,0.994,0.993,0.993,0.993,0.992,0.991,0.99,0.989,0.976,0.94,0.88,0.74,0.46,0.16,0.025,,
"N-FK51",0.971247817,0.216901417,0.904651666,0.00472302,0.0153575612,168.68133,0.75,0.84,0.94,0.98,0.994,0.995,0.995,0.996,0.997,0.997,0.996,0.993,0.992,0.992,0.993,0.993,0.992,0.988,0.976,0.963,0.875,0.63,0.3,0.12,0.035,0.01,,,,
"N-FK56",0.911957171,0.128580417,0.983146162,0.0045093349,0.0153515963,223.961126,,,0.979,0.991,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.995,0.994,0.996,0.996,0.995,0.992,0.985,0.975,0.92,0.76,0.46,0.21,0.06,0.01,,,,
