"name","nd","ne","vd","ve","sample_thickness","wavelength","tau_internal","colour_code","B1","B2","B3","C1","C2","C3","D0","D1","D2","E0","E1","RTC42_1060nm","RTC42_e-line","RTC42_g-line","ATC42_1060nm","ATC42_e-line","ATC42_g-line","RTC24_1060nm","RTC24_e-line","RTC24_g-line","ATC24_1060nm","ATC24_e-line","ATC24_g-line","RTC68_1060nm","RTC68_e-line","RTC68_g-line","ATC68_1060nm","ATC68_e-line","ATC68_g-line","optical_coefficient","TAUI25/2500","TAUI25/2325","TAUI25/1970","TAUI25/1530","TAUI25/1060","TAUI25/700","TAUI25/660","TAUI25/620","TAUI25/580","TAUI25/546","TAUI25/500","TAUI25/460","TAUI25/436","TAUI25/420","TAUI25/405","TAUI25/400","TAUI25/390","TAUI25/380","TAUI25/370","TAUI25/365","TAUI25/350","TAUI25/334","TAUI25/320","TAUI25/310","TAUI25/300","TAUI25/290","TAUI25/280","TAUI25/270","TAUI25/260","TAUI25/250","TAUI10/2500","TAUI10/2325","TAUI10/1970","TAUI10/1530","TAUI10/1060","TAUI10/700","TAUI10/660","TAUI10/620","TAUI10/580","TAUI10/546","TAUI10/500","TAUI10/460","TAUI10/436","TAUI10/420","TAUI10/405","TAUI10/400","TAUI10/390","TAUI10/380","TAUI10/370","TAUI10/365","TAUI10/350","TAUI10/334","TAUI10/320","TAUI10/310","TAUI10/300","TAUI10/290","TAUI10/280","TAUI10/270","TAUI10/260","TAUI10/250","bubble_class","CR","FR","SR","AR","PR","Density","Tg","T13","T7.6","heat_capacity","heat_conductivity","alpha_30/70","alpha_20/300","Youngs_modulus","Poisson_ratio","Knoop_hardness","abrasion_hardness"
"BK7G18",1.51975,1.52170,63.66,63.44,10,400,0.790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,570,,,,,,,,,,
"F2",1.62004,1.62408,36.37,36.11,25,400,0.984,"35/32",1.34533359E+00,2.09073176E-01,9.37357162E-01,9.97743871E-03,4.70450767E-02,1.11886764E+02,1.51E-06,1.56E-08,-2.78E-11,9.34E-07,1.04E-09,2.40,3.90,5.50,0.30,1.60,3.20,2.70,4.40,6.30,1.30,3.00,4.80,3.00,4.80,6.80,1.90,3.7,5.7,2.81,0.610,0.700,0.890,0.990,0.998,0.998,0.996,0.997,0.997,0.997,0.996,0.993,0.991,0.990,0.986,0.984,0.977,0.963,0.940,0.920,0.780,0.210,,,,,,,,,0.821,0.867,0.954,0.996,0.999,0.999,0.998,0.999,0.999,0.999,0.998,0.997,0.996,0.996,0.994,0.994,0.991,0.985,0.976,0.967,0.905,0.536,0.110,0.010,,,,,,,0,1,0,1,2.3,1.3,3.61,432,421,593,0.557,0.78,8.2,9.2,57,0.22,420,2
"F2G12",1.62072,1.62475,36.56,36.30,10,400,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60,435,,,,,,,,,,
"F4",1.61659,1.62058,36.63,36.37,25,400,0.971,"35/32",1.33905825E+00,2.05224318E-01,8.97859758E-01,9.92220114E-03,4.70000918E-02,1.07936750E+02,2.02E-06,1.97E-08,-3.87E-11,7.05E-07,4.36E-10,2.30,3.60,5.30,0.20,1.40,3.10,2.90,4.30,6.10,1.50,2.90,4.70,3.20,4.70,6.60,2.10,3.6,5.5,2.84,0.570,0.670,0.870,0.983,0.993,0.992,0.990,0.990,0.991,0.991,0.989,0.986,0.984,0.980,0.974,0.971,0.957,0.935,0.900,0.880,0.691,0.170,0.000,,,,,,,,0.799,0.852,0.946,0.993,0.997,0.997,0.996,0.996,0.996,0.996,0.996,0.994,0.994,0.992,0.990,0.988,0.983,0.973,0.959,0.950,0.863,0.492,0.025,,,,,,,,1,1,0,1,2.3,2,3.58,436,431,614,0.553,0.768,8.3,9.1,56,0.222,420,
"F5",1.60342,1.60718,38.03,37.77,25,400,0.984,"35/32",1.31044630E+00,1.96034260E-01,9.66129770E-01,9.58633048E-03,4.57627627E-02,1.15011883E+02,2.13E-06,1.65E-08,-6.98E-11,1.02E-06,6.56E-10,2.50,4.00,5.50,0.40,1.80,3.30,3.00,4.60,6.20,1.60,3.20,4.80,3.10,4.80,6.50,2.00,3.7,5.4,2.92,0.580,0.690,0.900,0.990,0.995,0.995,0.995,0.995,0.996,0.995,0.995,0.992,0.990,0.988,0.985,0.984,0.977,0.960,0.930,0.900,0.690,0.230,,,,,,,,,0.804,0.862,0.959,0.996,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.995,0.994,0.994,0.991,0.984,0.971,0.959,0.862,0.556,0.090,,,,,,,,1,1,0,1,2.3,2,3.47,438,425,608,,,8,8.9,58,0.22,450,3
"K10",1.50137,1.50349,56.41,56.15,25,400,0.986,"33/30",1.15687082E+00,6.42625444E-02,8.72376139E-01,8.09424251E-03,3.86051284E-02,1.04747730E+02,4.86E-06,1.72E-08,-3.02E-11,3.82E-07,4.53E-10,3.30,3.90,4.50,1.30,1.80,2.40,3.60,4.20,4.90,2.30,2.90,3.60,3.80,4.50,5.20,2.80,3.4,4.2,3.12,0.520,0.630,0.850,0.983,0.996,0.997,0.994,0.993,0.993,0.992,0.991,0.990,0.988,0.988,0.987,0.986,0.982,0.973,0.966,0.958,0.910,0.720,0.310,0.130,0.020,,,,,,0.770,0.831,0.937,0.993,0.998,0.999,0.998,0.997,0.997,0.997,0.996,0.996,0.995,0.995,0.995,0.994,0.993,0.989,0.986,0.983,0.963,0.877,0.626,0.370,0.140,,,,,,1,1,0,1,1,1.2,2.52,459,453,691,0.77,1.12,6.5,7.4,65,0.19,470,4
"K7",1.51112,1.51314,60.41,60.15,25,400,0.990,"33/30",1.12735550E+00,1.24412303E-01,8.27100531E-01,7.20341707E-03,2.69835916E-02,1.00384588E+02,-1.67E-06,8.80E-09,-2.86E-11,5.42E-07,7.81E-10,1.00,1.60,2.10,-1.00,-0.40,0.10,0.90,1.60,2.20,-0.40,0.20,0.90,0.80,1.60,2.30,-0.20,0.6,1.2,2.95,0.340,0.500,0.790,0.980,0.994,0.996,0.995,0.995,0.994,0.994,0.993,0.990,0.990,0.990,0.990,0.990,0.988,0.983,0.976,0.971,0.940,0.780,0.420,0.100,,,,,,,0.650,0.758,0.910,0.992,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.993,0.990,0.988,0.976,0.905,0.707,0.398,0.090,,,,,,1,3,0,2,1,2.3,2.53,513,,712,,,8.4,9.7,69,0.214,520,
"KZFSN4",1.61340,1.61669,44.29,44.07,25,400,0.974,"36/30",1.37994218E+00,1.68496708E-01,8.74885726E-01,8.91159699E-03,4.05334070E-02,6.96628237E+01,6.01E-06,1.30E-08,-7.94E-11,4.05E-07,7.23E-10,4.30,5.00,5.80,2.10,2.80,3.50,4.60,5.50,6.50,3.20,4.00,5.00,4.60,5.50,6.60,3.50,4.4,5.5,3.13,0.050,0.280,0.810,0.940,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.992,0.989,0.986,0.978,0.974,0.962,0.939,0.900,0.870,0.720,0.490,0.160,0.030,,,,,,,0.302,0.601,0.919,0.976,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.994,0.991,0.990,0.985,0.975,0.959,0.946,0.877,0.752,0.480,0.230,0.040,,,,,,1,3,2,52.3,4.3,4.3,3.20,492,494,594,0.636,0.766,4.5,5.5,60,0.275,450,
"KZFSN5",1.65412,1.65803,39.63,39.40,25,400,0.940,"37/34",1.47727858E+00,1.91686941E-01,8.97333608E-01,9.75488335E-03,4.50495404E-02,6.78786495E+01,5.51E-06,1.48E-08,-2.21E-11,6.22E-07,7.05E-10,4.40,5.50,6.60,2.20,3.20,4.30,4.70,5.90,7.10,3.30,4.40,5.60,4.90,6.20,7.60,3.80,5.1,6.4,2.89,0.030,0.240,0.770,0.920,0.997,0.996,0.996,0.996,0.996,0.995,0.992,0.985,0.978,0.968,0.950,0.940,0.911,0.850,0.740,0.650,0.190,,,,,,,,,,0.246,0.565,0.901,0.967,0.999,0.998,0.998,0.998,0.998,0.998,0.997,0.994,0.991,0.987,0.980,0.976,0.963,0.937,0.887,0.842,0.515,0.130,,,,,,,,,1,3,2,52.3,4.3,4.3,3.46,501,479,,,,4.5,5.7,65,0.275,460,5
"LAFN7",1.74950,1.75458,34.95,34.72,25,400,0.850,"40/35",1.66842615E+00,2.98512803E-01,1.07743760E+00,1.03159999E-02,4.69216348E-02,8.25078509E+01,7.27E-06,1.31E-08,-3.32E-11,8.88E-07,9.32E-10,6.00,7.80,9.70,3.70,5.40,7.20,6.30,8.30,10.40,4.80,6.70,8.90,6.50,8.60,10.90,5.30,7.4,9.7,1.77,0.090,0.410,0.850,0.960,0.996,0.996,0.995,0.995,0.995,0.994,0.994,0.982,0.965,0.940,0.880,0.850,0.780,0.650,0.400,0.220,0.010,,,,,,,,,,0.382,0.700,0.937,0.984,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.993,0.986,0.976,0.950,0.937,0.905,0.842,0.693,0.546,0.125,,,,,,,,,,0,3,1,53.3,2.2,4.3,4.38,500,481,573,,0.77,5.3,6.4,80,0.28,520,3
